Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
62,Myles Turner,28,IND,C,72,72,2174,0.481,0.561,0.396,0.577,0.773,0.612,0.293,0.486,103,103,110,106,99,106,121,115,55.1,64.7
63,Evan Mobley,23,CLE,PF,71,71,2167,0.557,0.621,0.37,0.604,0.725,0.633,0.337,0.254,119,114,103,111,93,110,139,60,111,117.3
64,Taurean Prince,30,MIL,SF,80,73,2166,0.457,0.492,0.439,0.6,0.813,0.613,0.093,0.652,98,90,122,111,104,106,38,155,58.7,39.3
65,Stephon Castle,20,SAS,PG,81,47,2162,0.428,0.501,0.285,0.476,0.724,0.522,0.348,0.337,92,92,79,88,93,91,143,80,-132.1,-123
66,Deni Avdija,24,POR,SF,72,54,2161,0.476,0.552,0.365,0.55,0.78,0.605,0.441,0.405,102,101,101,101,100,105,181,96,12.3,57.8
67,Jaylen Brown,28,BOS,SF,63,63,2158,0.463,0.529,0.324,0.515,0.764,0.555,0.288,0.32,99,97,90,95,98,96,119,76,-62.3,-53.6
68,Tim Hardaway Jr.,32,DET,SG,77,77,2153,0.406,0.484,0.368,0.529,0.855,0.567,0.213,0.672,87,89,102,97,110,98,88,160,-18.6,-13.1
69,Bennedict Mathurin,22,IND,SF,72,49,2149,0.458,0.519,0.34,0.516,0.831,0.579,0.389,0.338,98,95,94,95,107,100,160,80,-46.5,4.7
70,Spencer Dinwiddie,31,DAL,PG,79,30,2136,0.416,0.492,0.334,0.496,0.802,0.553,0.356,0.478,89,90,93,91,103,96,147,113,-63.7,-37.1
71,Scottie Barnes,23,TOR,PF,65,65,2134,0.446,0.508,0.271,0.482,0.755,0.523,0.284,0.263,95,93,75,89,97,91,117,63,-130.6,-126.1
72,Max Christie,21,2TM,SG,78,36,2127,0.427,0.496,0.366,0.525,0.855,0.57,0.258,0.532,91,91,102,97,110,99,106,126,-21.8,-8
72,Max Christie,21,LAL,SG,46,25,1154,0.444,0.544,0.368,0.549,0.851,0.598,0.302,0.566,95,100,102,101,109,104,124,134,3.2,14
72,Max Christie,21,DAL,SG,32,11,973,0.411,0.457,0.364,0.502,0.862,0.543,0.215,0.5,88,84,101,92,110,94,89,119,-25,-22
73,Josh Giddey,22,CHI,PG,70,69,2117,0.465,0.512,0.378,0.531,0.781,0.57,0.281,0.348,100,94,105,98,100,99,116,83,-19.7,-11.2
74,Fred VanVleet,30,HOU,PG,60,60,2111,0.378,0.43,0.345,0.483,0.81,0.515,0.181,0.607,81,79,96,89,104,89,74,144,-91.4,-100.1
75,Keyonte George,21,UTA,PG,67,35,2109,0.391,0.449,0.343,0.485,0.818,0.539,0.31,0.552,84,82,95,89,105,93,128,131,-106.2,-78.5
76,Dennis Schröder,31,3TM,PG,75,49,2105,0.406,0.458,0.342,0.483,0.838,0.531,0.261,0.449,87,84,95,89,107,92,108,107,-99.2,-82.5
76,Dennis Schröder,31,BRK,PG,23,23,772,0.452,0.509,0.387,0.542,0.889,0.588,0.249,0.462,97,93,107,100,114,102,103,110,-1,8.4
76,Dennis Schröder,31,GSW,SG,24,18,628,0.375,0.419,0.322,0.448,0.744,0.474,0.155,0.458,80,77,89,83,95,82,64,109,-47.6,-55
76,Dennis Schröder,31,DET,PG,28,8,705,0.378,0.434,0.302,0.442,0.833,0.515,0.382,0.422,81,80,84,81,107,89,157,100,-50.6,-35.9
77,Damian Lillard,34,MIL,PG,58,58,2093,0.448,0.528,0.376,0.547,0.921,0.621,0.396,0.528,96,97,104,101,118,108,163,125,7.6,104.6
78,Russell Westbrook,36,DEN,PG,75,36,2092,0.449,0.517,0.323,0.505,0.661,0.532,0.28,0.35,96,95,90,93,85,92,115,83,-62.6,-81.8
79,Kelly Oubre Jr.,29,PHI,SF,60,57,2078,0.47,0.555,0.293,0.518,0.751,0.551,0.25,0.327,101,102,81,95,96,96,103,78,-37.8,-41.7
80,Nickeil Alexander-Walker,26,MIN,SG,82,10,2073,0.438,0.524,0.381,0.553,0.78,0.579,0.192,0.601,94,96,106,102,100,100,79,143,11.9,3.3
81,Luguentz Dort,25,OKC,SF,71,71,2073,0.435,0.489,0.412,0.578,0.717,0.586,0.078,0.696,93,90,114,107,92,102,32,165,41.9,12.3
82,Onyeka Okongwu,24,ATL,C,74,40,2064,0.567,0.634,0.324,0.602,0.759,0.634,0.316,0.216,121,116,90,111,97,110,130,51,81.1,90.3
83,Malik Monk,26,SAC,SG,65,45,2054,0.439,0.534,0.325,0.513,0.865,0.549,0.19,0.456,94,98,90,94,111,95,78,108,-56.9,-55.3
84,Jaylen Wells,21,MEM,SG,79,74,2043,0.425,0.525,0.352,0.527,0.822,0.56,0.2,0.58,91,96,98,97,105,97,82,138,-22.2,-24.5
85,Jalen Duren,21,DET,C,78,78,2034,0.692,0.692,,0.692,0.669,0.703,0.443,0,148,127,,127,86,122,183,0,163,166.1
86,Jalen Wilson,24,BRK,PF,79,22,2031,0.397,0.481,0.337,0.495,0.818,0.541,0.266,0.584,85,88,94,91,105,94,110,139,-59.4,-49.1
87,Miles Bridges,26,CHO,PF,64,64,2029,0.431,0.513,0.313,0.495,0.87,0.541,0.233,0.413,92,94,87,91,112,94,96,98,-103.8,-83.7
88,Davion Mitchell,26,2TM,PG,74,37,2027,0.468,0.525,0.398,0.557,0.69,0.573,0.176,0.443,100,96,111,103,89,99,73,105,13,-3.1
88,Davion Mitchell,26,TOR,PG,44,22,1080,0.434,0.504,0.359,0.52,0.676,0.536,0.152,0.48,93,92,100,96,87,93,62,114,-11,-20.9
88,Davion Mitchell,26,MIA,PG,30,15,947,0.504,0.543,0.447,0.595,0.702,0.611,0.203,0.405,108,100,124,110,90,106,83,96,24,17.8
89,Franz Wagner,23,ORL,SF,60,60,2023,0.463,0.535,0.295,0.507,0.871,0.558,0.268,0.303,99,98,82,93,112,97,110,72,-83,-46.6
90,Quentin Grimes,24,2TM,SG,75,37,2013,0.467,0.552,0.385,0.565,0.757,0.595,0.26,0.512,100,101,107,104,97,103,107,121,36.2,35.1
90,Quentin Grimes,24,DAL,SG,47,12,1070,0.463,0.543,0.398,0.573,0.765,0.599,0.222,0.551,99,100,110,105,98,104,91,131,21.6,18.3
90,Quentin Grimes,24,PHI,SG,28,25,943,0.469,0.559,0.373,0.559,0.752,0.592,0.29,0.48,100,103,103,103,96,103,120,114,14.6,16.8
91,Jordan Poole,25,WAS,SG,68,68,2001,0.432,0.51,0.378,0.544,0.883,0.591,0.259,0.588,93,94,105,100,113,103,107,140,1,34
92,Draymond Green,34,GSW,PF,68,66,1983,0.424,0.517,0.325,0.503,0.687,0.534,0.289,0.483,91,95,90,93,88,93,119,115,-40.8,-48.1
93,Devin Vassell,24,SAS,SG,64,53,1983,0.443,0.513,0.368,0.532,0.792,0.553,0.135,0.483,95,94,102,98,102,96,56,115,-19.6,-44.3
94,Klay Thompson,34,DAL,SF,72,72,1965,0.412,0.448,0.391,0.535,0.905,0.552,0.084,0.631,88,82,108,98,116,96,35,150,-14.5,-43.2
95,Tyrese Maxey,24,PHI,PG,52,52,1960,0.437,0.515,0.337,0.511,0.879,0.562,0.265,0.438,94,95,94,94,113,98,109,104,-70,-34.8
96,Norman Powell,31,LAC,SG,60,60,1958,0.484,0.538,0.418,0.578,0.804,0.615,0.28,0.453,104,99,116,106,103,107,115,108,66.6,82.6
97,Yves Missi,20,NOP,C,73,67,1956,0.547,0.548,0,0.547,0.623,0.572,0.415,0.002,117,101,0,101,80,99,171,0,3.6,-5.4
98,Keon Ellis,25,SAC,SG,80,28,1948,0.489,0.615,0.433,0.639,0.849,0.664,0.185,0.692,105,113,120,118,109,115,76,164,89,87.7
99,Bilal Coulibaly,20,WAS,SF,59,59,1948,0.421,0.5,0.281,0.472,0.746,0.515,0.296,0.359,90,92,78,87,96,89,122,85,-88.7,-85.9
100,Kyle Kuzma,29,2TM,PF,65,62,1936,0.436,0.512,0.307,0.493,0.634,0.514,0.238,0.369,93,94,85,91,81,89,98,88,-85.1,-115.6
100,Kyle Kuzma,29,WAS,PF,32,30,887,0.42,0.495,0.281,0.469,0.602,0.488,0.215,0.352,90,91,78,86,77,85,89,83,-67.2,-88
100,Kyle Kuzma,29,MIL,PF,33,32,1049,0.455,0.533,0.333,0.52,0.663,0.545,0.265,0.389,97,98,93,96,85,95,109,92,-17.9,-27.6
101,Julian Champagnie,23,SAS,SF,82,29,1932,0.415,0.53,0.371,0.549,0.904,0.577,0.141,0.722,89,97,103,101,116,100,58,171,7.7,1
102,Keon Johnson,22,BRK,SG,79,56,1925,0.389,0.468,0.314,0.47,0.77,0.499,0.178,0.515,83,86,87,87,99,87,73,122,-114.1,-129.2
103,Naji Marshall,27,DAL,SF,69,31,1919,0.508,0.611,0.275,0.551,0.813,0.584,0.225,0.306,109,112,76,101,104,101,93,73,10.7,12.4
104,Jrue Holiday,34,BOS,PG,62,62,1896,0.443,0.547,0.353,0.538,0.909,0.565,0.134,0.534,95,100,98,99,117,98,55,127,-6.4,-13.4
105,Guerschon Yabusele,29,PHI,C,70,43,1895,0.501,0.616,0.38,0.593,0.725,0.616,0.245,0.487,107,113,105,109,93,107,101,116,56.5,49.2
106,Gary Trent Jr.,26,MIL,SG,74,9,1893,0.431,0.46,0.416,0.568,0.848,0.591,0.14,0.659,92,84,115,105,109,103,58,156,32.4,20.2
107,Anthony Black,21,ORL,PG,78,10,1887,0.423,0.471,0.318,0.473,0.761,0.521,0.318,0.315,90,86,88,87,98,90,131,75,-87.4,-78.4
108,Josh Green,24,CHO,SG,68,67,1887,0.428,0.48,0.391,0.543,0.681,0.559,0.171,0.589,92,88,109,100,87,97,70,140,-0.3,-15.7
109,Nic Claxton,25,BRK,C,70,62,1882,0.563,0.576,0.238,0.568,0.513,0.569,0.271,0.037,121,106,66,105,66,99,112,9,28.1,-8.6
110,Andrew Nembhard,25,IND,SG,65,65,1881,0.458,0.538,0.291,0.506,0.794,0.545,0.252,0.325,98,99,81,93,102,95,104,77,-40.4,-37.1
111,Cason Wallace,21,OKC,SG,68,43,1876,0.474,0.562,0.356,0.55,0.811,0.562,0.076,0.425,102,103,99,101,104,98,31,101,6.9,-14.3
112,Derrick Jones Jr.,27,LAC,SF,77,55,1873,0.526,0.627,0.356,0.593,0.703,0.609,0.2,0.372,113,115,99,109,90,106,82,88,58.3,42.4
113,Rui Hachimura,26,LAL,PF,59,57,1869,0.509,0.581,0.413,0.597,0.77,0.619,0.196,0.429,109,107,115,110,99,107,81,102,62.4,53.9
114,RJ Barrett,24,TOR,SF,58,58,1869,0.468,0.522,0.35,0.523,0.63,0.547,0.317,0.312,100,96,97,96,81,95,130,74,-39.6,-66.3
115,Buddy Hield,32,GSW,SG,82,22,1863,0.417,0.527,0.37,0.546,0.828,0.56,0.081,0.698,89,97,103,101,106,97,34,166,5.3,-26.2
116,Trey Murphy III,24,NOP,SF,53,51,1854,0.454,0.556,0.361,0.548,0.887,0.598,0.274,0.522,97,102,100,101,114,104,113,124,8.7,40.5
117,Zaccharie Risacher,19,ATL,SF,75,73,1843,0.458,0.54,0.355,0.537,0.711,0.558,0.191,0.442,98,99,98,99,91,97,79,105,-10.1,-31.3
118,Andrew Wiggins,29,2TM,SF,60,60,1842,0.448,0.501,0.374,0.526,0.763,0.566,0.306,0.415,96,92,104,97,98,98,126,98,-29.2,-19.2
118,Andrew Wiggins,29,GSW,SF,43,43,1296,0.444,0.491,0.379,0.524,0.777,0.566,0.304,0.422,95,90,105,96,100,98,125,100,-22.6,-13.4
118,Andrew Wiggins,29,MIA,SF,17,17,546,0.458,0.523,0.36,0.53,0.731,0.566,0.311,0.398,98,96,100,98,94,98,128,95,-6.6,-5.8
119,Isaiah Collier,20,UTA,PG,71,46,1839,0.422,0.497,0.249,0.459,0.682,0.494,0.277,0.305,90,91,69,85,87,86,114,72,-92.8,-102.7
120,Keldon Johnson,25,SAS,SF,77,0,1838,0.482,0.573,0.318,0.538,0.773,0.572,0.252,0.356,103,105,88,99,99,99,104,84,-7.3,-6.7
121,Royce O'Neale,31,PHO,SF,75,22,1837,0.423,0.481,0.406,0.58,0.731,0.585,0.046,0.774,90,88,113,107,94,101,19,184,41.9,10
122,P.J. Washington,26,DAL,PF,57,56,1835,0.453,0.493,0.381,0.521,0.722,0.556,0.298,0.359,97,90,106,96,93,96,123,85,-29.3,-30.7
123,CJ McCollum,33,NOP,PG,56,56,1832,0.444,0.505,0.373,0.53,0.717,0.55,0.173,0.459,95,93,103,98,92,95,71,109,-27.1,-57.1
124,Haywood Highsmith,28,MIA,SF,74,42,1818,0.458,0.57,0.382,0.572,0.721,0.583,0.11,0.596,98,105,106,105,92,101,45,141,22.3,5.6
125,Dorian Finney-Smith,31,2TM,PF,63,40,1818,0.448,0.545,0.411,0.597,0.667,0.604,0.103,0.722,96,100,114,110,85,105,43,171,46.5,24.9
125,Dorian Finney-Smith,31,BRK,PF,20,20,579,0.459,0.51,0.435,0.607,0.625,0.613,0.151,0.679,98,94,121,112,80,106,62,161,20.3,12.6
125,Dorian Finney-Smith,31,LAL,PF,43,20,1239,0.442,0.571,0.398,0.591,0.714,0.598,0.076,0.746,95,105,111,109,92,104,31,177,26.2,12.3
126,Alex Sarr,19,WAS,C,67,67,1814,0.394,0.454,0.308,0.457,0.679,0.482,0.199,0.412,84,83,85,84,87,84,82,98,-142.3,-168.8
127,Kyrie Irving,32,DAL,SG,50,50,1804,0.473,0.517,0.401,0.549,0.916,0.594,0.226,0.38,101,95,111,101,117,103,93,90,11.6,36.5
128,Kyshawn George,21,WAS,SG,68,38,1802,0.372,0.464,0.322,0.476,0.753,0.503,0.17,0.648,80,85,89,88,97,87,70,154,-73,-86.4
129,Cameron Johnson,28,BRK,PF,57,57,1800,0.475,0.578,0.39,0.582,0.893,0.632,0.301,0.546,102,106,108,107,115,110,124,130,57.7,95.1
130,Duncan Robinson,30,MIA,SF,74,37,1785,0.437,0.556,0.393,0.581,0.887,0.595,0.08,0.729,94,102,109,107,114,103,33,173,49.9,26.1
131,Kris Dunn,30,LAC,PG,74,58,1783,0.439,0.549,0.335,0.525,0.682,0.531,0.05,0.513,94,101,93,97,87,92,21,122,-15.6,-40.7
132,Luka Dončić,25,2TM,PG,50,50,1769,0.45,0.522,0.368,0.536,0.782,0.587,0.385,0.469,96,96,102,99,100,102,159,111,-14.2,26.6
132,Luka Dončić,25,DAL,PG,22,22,785,0.464,0.555,0.354,0.544,0.767,0.584,0.313,0.455,99,102,98,100,98,101,129,108,0.9,8
132,Luka Dončić,25,LAL,PG,28,28,984,0.438,0.493,0.379,0.53,0.791,0.59,0.445,0.481,94,90,105,98,101,102,183,114,-15.1,18.6
133,Scoot Henderson,20,POR,PG,66,10,1759,0.419,0.469,0.354,0.496,0.767,0.54,0.301,0.434,90,86,98,91,98,94,124,103,-65,-56.8
134,Wendell Carter Jr.,25,ORL,C,68,51,1758,0.46,0.568,0.234,0.498,0.737,0.544,0.356,0.322,99,104,65,92,95,94,147,76,-44.3,-36.6
135,Collin Sexton,26,UTA,SG,63,61,1758,0.48,0.513,0.406,0.543,0.865,0.593,0.29,0.313,103,94,113,100,111,103,119,74,0.3,32.6
136,Mike Conley,37,MIN,PG,71,64,1756,0.4,0.38,0.41,0.535,0.9,0.573,0.192,0.662,86,70,114,99,115,99,79,157,-7.3,-2.9
137,Amir Coffey,27,LAC,SG,72,13,1748,0.471,0.529,0.409,0.57,0.891,0.614,0.253,0.484,101,97,114,105,114,107,104,115,27.1,42.9
138,Jimmy Butler,35,2TM,SF,55,55,1746,0.504,0.546,0.308,0.531,0.842,0.626,0.657,0.174,108,100,85,98,108,109,270,41,-14.5,77.3
138,Jimmy Butler,35,MIA,PF,25,25,766,0.54,0.568,0.361,0.565,0.801,0.638,0.612,0.137,116,104,100,104,103,111,252,33,11.3,41.3
138,Jimmy Butler,35,GSW,SF,30,30,980,0.476,0.526,0.279,0.504,0.87,0.617,0.692,0.204,102,97,78,93,112,107,285,48,-25.8,36
139,Aaron Wiggins,26,OKC,SG,76,26,1744,0.488,0.578,0.383,0.577,0.831,0.596,0.122,0.466,104,106,106,106,107,103,50,111,49.3,29.9
140,Walker Kessler,23,UTA,C,58,58,1740,0.663,0.706,0.176,0.671,0.52,0.66,0.363,0.081,142,130,49,123,67,114,149,19,106.9,81.1
141,De'Andre Hunter,27,2TM,SF,64,9,1740,0.47,0.537,0.405,0.573,0.846,0.623,0.333,0.509,101,99,112,105,109,108,137,121,45.3,81.1
141,De'Andre Hunter,27,ATL,SF,37,4,1064,0.461,0.531,0.393,0.56,0.858,0.616,0.358,0.502,99,97,109,103,110,107,147,119,16.6,45.8
141,De'Andre Hunter,27,CLE,SF,27,5,676,0.485,0.55,0.426,0.596,0.821,0.634,0.289,0.522,104,101,118,110,105,110,119,124,28.7,35.3
142,Ochai Agbaji,24,TOR,SG,64,45,1739,0.498,0.587,0.399,0.593,0.708,0.601,0.09,0.474,107,108,111,109,91,104,37,112,53,27.3
143,Brandin Podziemski,21,GSW,SG,64,33,1716,0.445,0.516,0.372,0.537,0.758,0.557,0.151,0.491,95,95,103,99,97,97,62,117,-8.2,-26
144,Jabari Smith Jr.,21,HOU,PF,57,39,1716,0.438,0.519,0.354,0.525,0.825,0.562,0.223,0.489,94,95,98,97,106,97,92,116,-20.8,-18.1
145,Anthony Davis,31,2TM,PF,51,51,1706,0.516,0.553,0.282,0.536,0.775,0.588,0.405,0.136,111,102,78,99,99,102,167,32,-13.4,25.2
145,Anthony Davis,31,LAL,C,42,42,1440,0.528,0.56,0.298,0.546,0.788,0.601,0.423,0.124,113,103,83,101,101,104,174,29,4.7,44.7
145,Anthony Davis,31,DAL,PF,9,9,266,0.461,0.516,0.233,0.484,0.688,0.52,0.316,0.197,99,95,65,89,88,90,130,47,-18.1,-19.5
146,Bradley Beal,31,PHO,SG,53,38,1702,0.497,0.565,0.386,0.571,0.803,0.598,0.197,0.38,106,104,107,105,103,104,81,90,38.2,32.8
147,Georges Niang,31,2TM,PF,79,3,1697,0.461,0.569,0.406,0.595,0.793,0.607,0.094,0.66,99,104,113,110,102,105,39,157,64.6,40.1
147,Georges Niang,31,CLE,PF,51,1,1053,0.477,0.618,0.4,0.606,0.793,0.617,0.083,0.647,102,113,111,112,102,107,34,154,44,29.3
147,Georges Niang,31,ATL,PF,28,2,644,0.441,0.5,0.413,0.581,0.793,0.595,0.107,0.676,94,92,115,107,102,103,44,161,20.6,10.8
148,Jakob Poeltl,29,TOR,C,57,56,1686,0.627,0.628,0.333,0.628,0.674,0.641,0.249,0.005,134,115,93,116,86,111,102,1,98.1,83.8
149,Scotty Pippen Jr.,24,MEM,PG,79,21,1683,0.48,0.528,0.397,0.553,0.713,0.582,0.288,0.369,103,97,110,102,91,101,119,88,11.8,7.8
150,Kevin Huerter,26,2TM,SG,69,31,1679,0.425,0.587,0.338,0.535,0.714,0.544,0.081,0.647,91,108,94,98,92,94,33,154,-10,-39.8
150,Kevin Huerter,26,SAC,SG,43,15,899,0.413,0.629,0.302,0.513,0.714,0.524,0.09,0.661,88,115,84,94,92,91,37,157,-18.7,-33.4
150,Kevin Huerter,26,CHI,SG,26,16,780,0.439,0.546,0.376,0.558,0.714,0.566,0.071,0.633,94,100,104,103,92,98,29,150,8.7,-6.4
151,Santi Aldama,24,MEM,PF,65,16,1660,0.483,0.599,0.368,0.576,0.691,0.588,0.145,0.503,103,110,102,106,89,102,60,119,42.2,16.6
152,A.J. Green,25,MIL,SG,73,7,1659,0.429,0.443,0.427,0.612,0.815,0.621,0.064,0.856,92,81,119,113,104,108,26,203,58.5,38.7
153,Al Horford,38,BOS,C,60,42,1659,0.423,0.551,0.363,0.547,0.895,0.563,0.082,0.681,91,101,101,101,115,98,34,162,3.3,-12.5
154,Terry Rozier,30,MIA,PG,64,23,1658,0.391,0.48,0.295,0.462,0.852,0.497,0.17,0.485,84,88,82,85,109,86,70,115,-102.7,-107.5
155,Peyton Watson,22,DEN,SF,68,18,1656,0.477,0.534,0.353,0.533,0.693,0.564,0.32,0.318,102,98,98,98,89,98,132,75,-8.9,-11.7
156,Moses Moody,22,GSW,SG,74,34,1649,0.433,0.519,0.374,0.544,0.797,0.578,0.234,0.593,93,95,104,100,102,100,96,141,1.1,2
157,Tristan Da Silva,23,ORL,SF,74,38,1629,0.412,0.488,0.335,0.495,0.873,0.522,0.13,0.495,88,89,93,91,112,91,54,117,-46.6,-55.5
158,Donte DiVincenzo,28,MIN,SG,62,10,1606,0.422,0.49,0.397,0.568,0.778,0.582,0.106,0.739,90,90,110,105,100,101,44,175,29.9,7.7
159,Isaiah Joe,25,OKC,SG,74,16,1604,0.44,0.549,0.412,0.604,0.821,0.617,0.095,0.793,94,101,114,111,105,107,39,188,71.4,50
160,Corey Kispert,25,WAS,SF,61,0,1602,0.451,0.574,0.364,0.558,0.852,0.584,0.156,0.584,97,105,101,103,109,101,64,139,16.3,9.3
161,Caris LeVert,30,2TM,SG,64,3,1596,0.467,0.552,0.373,0.556,0.71,0.582,0.259,0.474,100,101,104,102,91,101,107,113,15.4,7.1
161,Caris LeVert,30,CLE,SF,38,3,904,0.453,0.5,0.405,0.554,0.699,0.58,0.279,0.497,97,92,113,102,90,101,115,118,6.3,2.5
161,Caris LeVert,30,ATL,SG,26,0,692,0.482,0.6,0.338,0.558,0.722,0.583,0.239,0.452,103,110,94,103,93,101,98,107,9.1,4.6
162,Miles McBride,24,NYK,PG,64,10,1593,0.406,0.455,0.369,0.511,0.813,0.531,0.117,0.57,87,84,102,94,104,92,48,135,-35.1,-51.8
163,Isaiah Hartenstein,26,OKC,C,57,53,1590,0.581,0.605,0,0.581,0.675,0.599,0.244,0.04,124,111,0,107,87,104,100,9,36.7,24.5
164,Gradey Dick,21,TOR,SG,54,54,1587,0.41,0.47,0.35,0.498,0.858,0.543,0.24,0.504,88,86,97,92,110,94,99,120,-58.7,-47.2
165,Paolo Banchero,22,ORL,PF,46,46,1582,0.452,0.509,0.32,0.5,0.727,0.551,0.423,0.299,97,93,89,92,93,96,174,71,-78.5,-54
166,Patrick Williams,23,CHI,PF,63,36,1576,0.397,0.447,0.353,0.49,0.723,0.512,0.161,0.527,85,82,98,90,93,89,66,125,-54.4,-70.7
167,Obi Toppin,26,IND,PF,79,4,1545,0.529,0.695,0.365,0.621,0.781,0.642,0.19,0.503,113,127,101,114,100,111,78,119,93.4,84.9
168,Grayson Allen,29,PHO,SG,64,7,1544,0.448,0.504,0.426,0.6,0.816,0.631,0.233,0.716,96,92,118,111,105,109,96,170,55.9,58.7
169,Sam Hauser,27,BOS,PF,71,19,1541,0.451,0.64,0.416,0.627,1,0.632,0.023,0.842,97,117,115,115,128,110,10,200,79.2,53.2
170,Ziaire Williams,23,BRK,SF,63,45,1541,0.412,0.509,0.341,0.511,0.821,0.55,0.237,0.581,88,93,95,94,105,96,97,138,-33.8,-29.6
171,Gabe Vincent,28,LAL,PG,72,11,1527,0.4,0.532,0.353,0.53,0.714,0.536,0.05,0.736,86,98,98,98,92,93,21,175,-11.2,-34.6
172,Victor Wembanyama,21,SAS,C,46,46,1527,0.476,0.586,0.352,0.559,0.836,0.594,0.221,0.47,102,107,98,103,107,103,91,112,27.2,32.6
173,Jerami Grant,30,POR,PF,47,47,1524,0.373,0.381,0.365,0.467,0.849,0.523,0.289,0.516,80,70,101,86,109,91,119,122,-87.4,-68.6
174,Jonas Valančiūnas,32,2TM,C,81,21,1524,0.55,0.571,0.216,0.557,0.879,0.602,0.263,0.059,118,105,60,102,113,105,108,14,17,36.7
174,Jonas Valančiūnas,32,WAS,C,49,12,983,0.547,0.567,0.259,0.556,0.896,0.602,0.251,0.064,117,104,72,102,115,104,103,15,10.7,23.9
174,Jonas Valančiūnas,32,SAC,C,32,9,541,0.556,0.579,0.1,0.559,0.847,0.604,0.288,0.049,119,106,28,103,109,105,119,12,6.3,12.8
175,Kyle Filipowski,21,UTA,C,72,27,1522,0.502,0.614,0.35,0.576,0.65,0.594,0.276,0.425,107,113,97,106,83,103,114,101,34.4,20.6
176,Ja Morant,25,MEM,PG,50,50,1519,0.454,0.523,0.309,0.504,0.824,0.563,0.359,0.321,97,96,86,93,106,98,148,76,-69.6,-27.2
177,Matas Buzelis,20,CHI,SF,80,31,1511,0.454,0.54,0.361,0.541,0.815,0.571,0.195,0.479,97,99,100,100,104,99,80,114,-2.8,-6.3
178,LaMelo Ball,23,CHO,PG,47,47,1505,0.405,0.478,0.339,0.494,0.843,0.536,0.228,0.526,87,88,94,91,108,93,94,125,-98.4,-87.9
179,Dalton Knecht,23,LAL,SF,78,16,1494,0.461,0.594,0.376,0.576,0.762,0.594,0.151,0.61,99,109,105,106,98,103,62,145,37,21.5
180,Kevin Porter Jr.,24,2TM,SG,75,4,1482,0.449,0.501,0.311,0.492,0.769,0.531,0.259,0.271,96,92,86,91,99,92,107,64,-67.2,-66.1
180,Kevin Porter Jr.,24,LAC,SG,45,2,884,0.423,0.485,0.245,0.455,0.645,0.476,0.187,0.26,90,89,68,84,83,83,77,62,-72.1,-88.6
180,Kevin Porter Jr.,24,MIL,SG,30,2,598,0.494,0.529,0.408,0.553,0.871,0.616,0.38,0.29,106,97,113,102,112,107,156,69,4.9,22.5
181,D'Angelo Russell,28,2TM,PG,58,36,1480,0.39,0.489,0.314,0.479,0.834,0.522,0.227,0.564,84,90,87,88,107,91,94,134,-82,-76.8
181,D'Angelo Russell,28,LAL,PG,29,10,763,0.415,0.51,0.333,0.505,0.849,0.537,0.17,0.54,89,94,93,93,109,93,70,128,-23.8,-26.3
181,D'Angelo Russell,28,BRK,PG,29,26,717,0.367,0.467,0.297,0.454,0.826,0.508,0.281,0.587,79,86,82,84,106,88,116,139,-58.2,-50.5
182,Lauri Markkanen,27,UTA,PF,47,47,1476,0.423,0.525,0.346,0.521,0.876,0.571,0.264,0.57,91,96,96,96,112,99,109,135,-30.3,-8.5
183,Luke Kennard,28,MEM,SG,65,11,1472,0.478,0.547,0.433,0.609,0.895,0.631,0.132,0.606,102,100,120,112,115,110,54,144,56.9,50.4
184,Jamal Shead,22,TOR,PG,75,11,1467,0.405,0.47,0.323,0.476,0.768,0.499,0.137,0.442,87,86,90,88,98,87,56,105,-67.4,-82.8
185,Aaron Gordon,29,DEN,PF,51,42,1447,0.531,0.582,0.436,0.607,0.81,0.65,0.36,0.346,114,107,121,112,104,113,148,82,63.2,84.5
186,Isaiah Stewart,23,DET,C,72,4,1434,0.559,0.607,0.321,0.586,0.759,0.616,0.276,0.168,120,111,89,108,97,107,114,40,26.9,27.9
187,Brice Sensabaugh,21,UTA,SF,71,15,1432,0.459,0.52,0.422,0.59,0.89,0.612,0.122,0.621,98,95,117,109,114,106,50,147,56.4,44.7
188,Goga Bitadze,25,ORL,C,70,42,1430,0.611,0.656,0.107,0.615,0.639,0.631,0.392,0.083,131,120,30,113,82,110,162,20,48.8,43.9
189,Kel'el Ware,20,MIA,C,64,36,1422,0.554,0.629,0.315,0.592,0.687,0.603,0.144,0.239,119,115,88,109,88,105,59,57,45,26.3
190,Tari Eason,23,HOU,PF,57,16,1420,0.487,0.557,0.342,0.543,0.76,0.567,0.186,0.329,104,102,95,100,97,98,77,78,-0.1,-10.9
191,Zach Edey,22,MEM,C,66,55,1416,0.58,0.612,0.346,0.6,0.709,0.624,0.293,0.12,124,112,96,111,91,108,121,29,49.7,46.6
192,T.J. McConnell,32,IND,PG,79,1,1415,0.519,0.537,0.306,0.531,0.74,0.547,0.123,0.079,111,99,85,98,95,95,51,19,-14.7,-38.1
193,Terance Mann,28,2TM,SG,67,13,1414,0.496,0.58,0.368,0.569,0.691,0.584,0.165,0.395,106,106,102,105,89,101,68,94,21.4,6.6
